file_no,relative_path,top_folder,sub_folder,country,state,district,year,quarter,row_count_extracted,status,error
151,aggregated\insurance\country\india\state\chhattisgarh\2024\3.json,aggregated,insurance,India,Chhattisgarh,,2024,3,1,success,
152,aggregated\insurance\country\india\state\chhattisgarh\2024\4.json,aggregated,insurance,India,Chhattisgarh,,2024,4,1,success,
153,aggregated\insurance\country\india\state\dadra-&-nagar-haveli-&-daman-&-diu\2020\2.json,aggregated,insurance,India,Dadra & Nagar Haveli & Daman & Diu,,2020,2,1,success,
154,aggregated\insurance\country\india\state\dadra-&-nagar-haveli-&-daman-&-diu\2020\3.json,aggregated,insurance,India,Dadra & Nagar Haveli & Daman & Diu,,2020,3,1,success,
155,aggregated\insurance\country\india\state\dadra-&-nagar-haveli-&-daman-&-diu\2020\4.json,aggregated,insurance,India,Dadra & Nagar Haveli & Daman & Diu,,2020,4,1,success,
156,aggregated\insurance\country\india\state\dadra-&-nagar-haveli-&-daman-&-diu\2021\1.json,aggregated,insurance,India,Dadra & Nagar Haveli & Daman & Diu,,2021,1,1,success,
157,aggregated\insurance\country\india\state\dadra-&-nagar-haveli-&-daman-&-diu\2021\2.json,aggregated,insurance,India,Dadra & Nagar Haveli & Daman & Diu,,2021,2,1,success,
158,aggregated\insurance\country\india\state\dadra-&-nagar-haveli-&-daman-&-diu\2021\3.json,aggregated,insurance,India,Dadra & Nagar Haveli & Daman & Diu,,2021,3,1,success,
159,aggregated\insurance\country\india\state\dadra-&-nagar-haveli-&-daman-&-diu\2021\4.json,aggregated,insurance,India,Dadra & Nagar Haveli & Daman & Diu,,2021,4,1,success,
160,aggregated\insurance\country\india\state\dadra-&-nagar-haveli-&-daman-&-diu\2022\1.json,aggregated,insurance,India,Dadra & Nagar Haveli & Daman & Diu,,2022,1,1,success,
161,aggregated\insurance\country\india\state\dadra-&-nagar-haveli-&-daman-&-diu\2022\2.json,aggregated,insurance,India,Dadra & Nagar Haveli & Daman & Diu,,2022,2,1,success,
162,aggregated\insurance\country\india\state\dadra-&-nagar-haveli-&-daman-&-diu\2022\3.json,aggregated,insurance,India,Dadra & Nagar Haveli & Daman & Diu,,2022,3,1,success,
163,aggregated\insurance\country\india\state\dadra-&-nagar-haveli-&-daman-&-diu\2022\4.json,aggregated,insurance,India,Dadra & Nagar Haveli & Daman & Diu,,2022,4,1,success,
164,aggregated\insurance\country\india\state\dadra-&-nagar-haveli-&-daman-&-diu\2023\1.json,aggregated,insurance,India,Dadra & Nagar Haveli & Daman & Diu,,2023,1,1,success,
165,aggregated\insurance\country\india\state\dadra-&-nagar-haveli-&-daman-&-diu\2023\2.json,aggregated,insurance,India,Dadra & Nagar Haveli & Daman & Diu,,2023,2,1,success,
166,aggregated\insurance\country\india\state\dadra-&-nagar-haveli-&-daman-&-diu\2023\3.json,aggregated,insurance,India,Dadra & Nagar Haveli & Daman & Diu,,2023,3,1,success,
167,aggregated\insurance\country\india\state\dadra-&-nagar-haveli-&-daman-&-diu\2023\4.json,aggregated,insurance,India,Dadra & Nagar Haveli & Daman & Diu,,2023,4,1,success,
168,aggregated\insurance\country\india\state\dadra-&-nagar-haveli-&-daman-&-diu\2024\1.json,aggregated,insurance,India,Dadra & Nagar Haveli & Daman & Diu,,2024,1,1,success,
169,aggregated\insurance\country\india\state\dadra-&-nagar-haveli-&-daman-&-diu\2024\2.json,aggregated,insurance,India,Dadra & Nagar Haveli & Daman & Diu,,2024,2,1,success,
170,aggregated\insurance\country\india\state\dadra-&-nagar-haveli-&-daman-&-diu\2024\3.json,aggregated,insurance,India,Dadra & Nagar Haveli & Daman & Diu,,2024,3,1,success,
171,aggregated\insurance\country\india\state\dadra-&-nagar-haveli-&-daman-&-diu\2024\4.json,aggregated,insurance,India,Dadra & Nagar Haveli & Daman & Diu,,2024,4,1,success,
172,aggregated\insurance\country\india\state\delhi\2020\2.json,aggregated,insurance,India,Delhi,,2020,2,1,success,
173,aggregated\insurance\country\india\state\delhi\2020\3.json,aggregated,insurance,India,Delhi,,2020,3,1,success,
174,aggregated\insurance\country\india\state\delhi\2020\4.json,aggregated,insurance,India,Delhi,,2020,4,1,success,
175,aggregated\insurance\country\india\state\delhi\2021\1.json,aggregated,insurance,India,Delhi,,2021,1,1,success,
176,aggregated\insurance\country\india\state\delhi\2021\2.json,aggregated,insurance,India,Delhi,,2021,2,1,success,
177,aggregated\insurance\country\india\state\delhi\2021\3.json,aggregated,insurance,India,Delhi,,2021,3,1,success,
178,aggregated\insurance\country\india\state\delhi\2021\4.json,aggregated,insurance,India,Delhi,,2021,4,1,success,
179,aggregated\insurance\country\india\state\delhi\2022\1.json,aggregated,insurance,India,Delhi,,2022,1,1,success,
180,aggregated\insurance\country\india\state\delhi\2022\2.json,aggregated,insurance,India,Delhi,,2022,2,1,success,
181,aggregated\insurance\country\india\state\delhi\2022\3.json,aggregated,insurance,India,Delhi,,2022,3,1,success,
182,aggregated\insurance\country\india\state\delhi\2022\4.json,aggregated,insurance,India,Delhi,,2022,4,1,success,
183,aggregated\insurance\country\india\state\delhi\2023\1.json,aggregated,insurance,India,Delhi,,2023,1,1,success,
184,aggregated\insurance\country\india\state\delhi\2023\2.json,aggregated,insurance,India,Delhi,,2023,2,1,success,
185,aggregated\insurance\country\india\state\delhi\2023\3.json,aggregated,insurance,India,Delhi,,2023,3,1,success,
186,aggregated\insurance\country\india\state\delhi\2023\4.json,aggregated,insurance,India,Delhi,,2023,4,1,success,
187,aggregated\insurance\country\india\state\delhi\2024\1.json,aggregated,insurance,India,Delhi,,2024,1,1,success,
188,aggregated\insurance\country\india\state\delhi\2024\2.json,aggregated,insurance,India,Delhi,,2024,2,1,success,
189,aggregated\insurance\country\india\state\delhi\2024\3.json,aggregated,insurance,India,Delhi,,2024,3,1,success,
190,aggregated\insurance\country\india\state\delhi\2024\4.json,aggregated,insurance,India,Delhi,,2024,4,1,success,
191,aggregated\insurance\country\india\state\goa\2020\2.json,aggregated,insurance,India,Goa,,2020,2,1,success,
192,aggregated\insurance\country\india\state\goa\2020\3.json,aggregated,insurance,India,Goa,,2020,3,1,success,
193,aggregated\insurance\country\india\state\goa\2020\4.json,aggregated,insurance,India,Goa,,2020,4,1,success,
194,aggregated\insurance\country\india\state\goa\2021\1.json,aggregated,insurance,India,Goa,,2021,1,1,success,
195,aggregated\insurance\country\india\state\goa\2021\2.json,aggregated,insurance,India,Goa,,2021,2,1,success,
196,aggregated\insurance\country\india\state\goa\2021\3.json,aggregated,insurance,India,Goa,,2021,3,1,success,
197,aggregated\insurance\country\india\state\goa\2021\4.json,aggregated,insurance,India,Goa,,2021,4,1,success,
198,aggregated\insurance\country\india\state\goa\2022\1.json,aggregated,insurance,India,Goa,,2022,1,1,success,
199,aggregated\insurance\country\india\state\goa\2022\2.json,aggregated,insurance,India,Goa,,2022,2,1,success,
200,aggregated\insurance\country\india\state\goa\2022\3.json,aggregated,insurance,India,Goa,,2022,3,1,success,
201,aggregated\insurance\country\india\state\goa\2022\4.json,aggregated,insurance,India,Goa,,2022,4,1,success,
202,aggregated\insurance\country\india\state\goa\2023\1.json,aggregated,insurance,India,Goa,,2023,1,1,success,
